Year,Month,Day,Capital,Max Risk,No of lots,Trade Risk,Entry,Entry Time,Point Risk,Exit,Exit Time,PnL,New Capital
2017,07,27,999422.5000000001,9994.225000000002,2.0,7500.0,10063.25,2017-07-27 09:15:00+05:30,100.0,10017.4,2017-07-27 15:20:00+05:30,-3329.9999999999727,996092.5000000001
2017,07,31,996092.5000000001,9960.925000000001,2.0,7500.0,10034.7,2017-07-31 09:15:00+05:30,100.0,10078.85,2017-07-31 15:20:00+05:30,3408.749999999918,999501.25
2017,08,04,999501.25,9995.0125,2.0,7500.0,10029.8,2017-08-04 13:46:00+05:30,100.0,10068.65,2017-08-04 15:20:00+05:30,3138.7500000000273,1002640.0
2017,08,08,1002640.0,10026.4,2.0,7500.0,10081.75,2017-08-08 09:16:00+05:30,100.0,9977.3,2017-08-08 10:15:00+05:30,-7833.750000000055,994806.25
2017,08,14,994806.25,9948.0625,2.0,7500.0,9755.75,2017-08-14 09:15:00+05:30,100.0,9789.0,2017-08-14 15:20:00+05:30,2654.9999999999727,997461.25
2017,08,16,997461.25,9974.612500000001,2.0,7500.0,9825.85,2017-08-16 09:15:00+05:30,100.0,9897.4,2017-08-16 15:20:00+05:30,5493.75,1002955.0
2017,08,17,1002955.0,10029.550000000001,2.0,7500.0,9945.55,2017-08-17 09:15:00+05:30,100.0,9903.55,2017-08-17 15:20:00+05:30,-3067.4999999999727,999887.5
2017,08,21,999887.5,9998.875,2.0,7500.0,9864.25,2017-08-21 09:15:00+05:30,100.0,9763.65,2017-08-21 15:05:00+05:30,-7545.000000000026,992342.5
2017,08,22,992342.5,9923.425000000001,2.0,7500.0,9815.75,2017-08-22 09:15:00+05:30,100.0,9765.35,2017-08-22 15:20:00+05:30,-3701.2500000000273,988641.25
2017,08,23,988641.25,9886.4125,2.0,7500.0,9803.05,2017-08-23 09:15:00+05:30,100.0,9849.75,2017-08-23 15:20:00+05:30,3588.7500000000273,992230.0
2017,08,24,992230.0,9922.300000000001,2.0,7500.0,9881.2,2017-08-24 09:15:00+05:30,100.0,9855.5,2017-08-24 15:20:00+05:30,-1541.2500000000819,990688.7499999999
